DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Nov1958;0.17813;0.37715;0.55212;0.60505;0.61067;0.51533;0.56878;0.73461;0.68094;0.63752;0.5625;0.53505;0.57077;0.44871;0.69927;0.77188;0.8922;0.9127;0.87341;0.93129;0.81113;0.89641;0.90513;0.87156;0.87362;0.88197;0.87745;0.9169;0.97133;1.01325;1.10905;1.2233;1.19268;1.15806;1.16129;1.19541;1.10192;1.0764;0.98102;0.9739;0.99356;1.00722;0.99588;1.01552;1.07557;1.00368;0.97379;0.90411
Dec1958;0.81025;0.662;0.70763;0.82234;0.84585;0.84191;0.7565;0.78753;0.89308;0.84646;0.79443;0.72168;0.69315;0.71722;0.60386;0.83094;0.89646;1.00472;1.02096;0.98129;1.03005;0.9221;0.99592;1.00286;0.96681;0.96378;0.96985;0.96291;0.99921;1.05039;1.08729;1.17606;1.28269;1.25247;1.22002;1.22434;1.25392;1.16586;1.13894;1.04499;1.03729;1.05538;1.06826;1.05679;1.075;1.13354;1.06568;1.0338
Jan1959;0.79265;1.08535;1.00142;1.00511;1.11084;1.13094;1.12403;1.04632;1.04491;1.09997;1.06797;1.00425;0.91486;0.88598;0.88768;0.78405;0.9857;1.04644;1.14981;1.16337;1.1185;1.15751;1.05733;1.11117;1.11234;1.05871;1.04362;1.05114;1.04251;1.0766;1.1279;1.16074;1.24072;1.33697;1.31198;1.27853;1.28882;1.3142;1.2287;1.20114;1.10954;1.10245;1.11988;1.13358;1.12297;1.13926;1.19576;1.1333
Feb1959;-0.13289;0.55859;0.85929;0.80175;0.8466;0.95439;0.98204;0.97587;0.90901;0.92788;0.99563;0.96747;0.92332;0.84321;0.81733;0.83172;0.73032;0.92835;0.98849;1.09325;1.10741;1.06882;1.10884;1.00707;1.06587;1.07251;1.02463;1.01247;1.02002;1.01147;1.04612;1.09891;1.13384;1.21681;1.31384;1.28964;1.2576;1.26361;1.29153;1.20799;1.1817;1.08903;1.0822;1.09828;1.11162;1.10013;1.11699;1.17217
Mar1959;0.56201;0.34071;0.69347;0.97271;0.91789;0.95437;1.05838;1.08653;1.08326;1.02156;1.03758;1.09183;1.06989;1.0184;0.93113;0.91098;0.91221;0.81591;1.00181;1.05809;1.15912;1.17188;1.13078;1.1647;1.06881;1.11973;1.12066;1.07159;1.05584;1.0636;1.05377;1.08699;1.13822;1.17051;1.24927;1.34251;1.32041;1.28842;1.29546;1.31987;1.23773;1.21276;1.12239;1.11616;1.1329;1.14673;1.13499;1.15155
Apr1959;-0.03364;0.54132;0.31753;0.70159;0.93688;0.87359;0.9182;1.01983;1.04126;1.04239;0.98647;1.00747;1.07284;1.05722;1.01245;0.93592;0.90924;0.91664;0.81892;1.00053;1.05471;1.15604;1.16731;1.12903;1.16529;1.07478;1.1311;1.1361;1.09173;1.08315;1.08888;1.07767;1.10892;1.15904;1.1931;1.27363;1.36683;1.34142;1.31249;1.31458;1.34095;1.26137;1.23882;1.14803;1.14096;1.15671;1.17023;1.1585
May1959;0.19309;0.01669;0.52926;0.3147;0.69313;0.91663;0.85364;0.90133;0.99917;1.01963;1.01915;0.96881;0.99064;1.05636;1.04139;0.99955;0.93004;0.90457;0.91468;0.81884;0.99933;1.05426;1.15777;1.16925;1.13071;1.1667;1.07889;1.13405;1.14051;1.09803;1.09168;1.09708;1.0858;1.11588;1.16548;1.19945;1.27994;1.3725;1.34606;1.31841;1.31845;1.34592;1.26707;1.24373;1.1535;1.14723;1.1633;1.17708
Jun1959;0.41324;0.29587;0.07668;0.50457;0.30949;0.67051;0.88856;0.83023;0.87912;0.97866;0.99994;1.00238;0.95298;0.97639;1.0392;1.02523;0.98391;0.91497;0.8901;0.89961;0.80494;0.98487;1.04042;1.14585;1.1582;1.12033;1.15629;1.06913;1.12431;1.13139;1.0901;1.08345;1.08943;1.07808;1.10785;1.1584;1.19355;1.27374;1.36609;1.33965;1.31228;1.31306;1.34189;1.26277;1.23978;1.14958;1.14328;1.15948
Jul1959;-0.24223;0.10689;0.11692;-0.02074;0.40849;0.22875;0.60103;0.8173;0.76406;0.81539;0.91155;0.93522;0.93934;0.89402;0.9204;0.98366;0.96619;0.92782;0.86436;0.83909;0.85036;0.75829;0.93665;0.9925;1.09901;1.11274;1.07242;1.10976;1.02433;1.08089;1.08824;1.04882;1.04312;1.04938;1.03862;1.06878;1.11955;1.15582;1.23647;1.3283;1.30182;1.27478;1.27589;1.30571;1.22839;1.20603;1.11677;1.11158
Aug1959;0.76961;0.37766;0.43109;0.34802;0.16582;0.53052;0.3413;0.68867;0.88133;0.82364;0.87369;0.96602;0.98718;0.99016;0.94431;0.96736;1.02758;1.00974;0.97102;0.90832;0.88203;0.8919;0.8005;0.97358;1.02613;1.12808;1.14039;1.10066;1.13583;1.05266;1.108;1.11601;1.07745;1.07258;1.0786;1.06687;1.09582;1.14521;1.18008;1.25821;1.34845;1.32255;1.29649;1.2972;1.32579;1.24993;1.22723;1.13927
