DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Aug1961;-1.2605;-1.06325;-1.65871;-1.4996;-1.37344;-1.39037;-1.27883;-1.40154;-1.42529;-1.35117;-1.42596;-1.52119;-1.38185;-1.5584;-1.56785;-1.46904;-1.4527;-1.45381;-1.44486;-1.46042;-1.49337;-1.45515;-1.29471;-1.08259;-1.0423;-1.17145;-1.14976;-1.03788;-1.07125;-1.11305;-1.11667;-1.10575;-1.08919;-1.01846;-1.09752;-1.14331;-1.25335;-1.15887;-1.10834;-1.29319;-1.26662;-1.27522;-1.24168;-1.26323;-1.26421;-1.2678;-1.1899;-1.22322
Sep1961;0.98174;-0.05009;-0.26195;-1.07268;-1.0093;-0.92095;-0.96788;-0.86471;-1.00549;-1.03403;-0.97874;-1.08747;-1.22853;-1.09887;-1.30442;-1.33363;-1.26499;-1.26102;-1.26283;-1.25401;-1.27326;-1.31258;-1.2765;-1.10307;-0.88511;-0.85584;-0.98983;-0.97371;-0.86347;-0.90106;-0.94503;-0.94693;-0.93959;-0.92488;-0.84981;-0.93498;-0.98714;-1.10823;-1.00104;-0.95354;-1.14814;-1.12045;-1.12964;-1.09452;-1.11812;-1.12094;-1.12494;-1.04697
Oct1961;0.30198;0.94356;0.01635;-0.19122;-0.93745;-0.89667;-0.81693;-0.86041;-0.76745;-0.90529;-0.93764;-0.88508;-0.99561;-1.14182;-1.02444;-1.22781;-1.26733;-1.20813;-1.20603;-1.20908;-1.20126;-1.22044;-1.25973;-1.2233;-1.05463;-0.84149;-0.81101;-0.94558;-0.93018;-0.81908;-0.85547;-0.89846;-0.89971;-0.89325;-0.88033;-0.80807;-0.89343;-0.94573;-1.06678;-0.96034;-0.913;-1.10573;-1.07779;-1.08491;-1.05011;-1.0741;-1.07825;-1.08139
Nov1961;-0.07684;0.15934;0.82387;-0.03229;-0.2236;-0.94251;-0.90161;-0.82138;-0.86356;-0.77382;-0.90725;-0.94075;-0.88814;-0.99753;-1.14401;-1.02506;-1.22735;-1.26447;-1.20685;-1.20505;-1.20694;-1.1994;-1.21822;-1.25674;-1.22101;-1.05443;-0.84359;-0.81366;-0.94763;-0.93069;-0.82158;-0.85885;-0.90114;-0.90243;-0.89597;-0.88374;-0.8127;-0.89684;-0.94986;-1.06945;-0.96387;-0.91648;-1.10777;-1.07832;-1.08504;-1.05046;-1.07397;-1.07874
Dec1961;-0.0105;-0.10386;0.09078;0.75672;-0.05216;-0.22713;-0.91999;-0.87978;-0.80216;-0.84365;-0.76272;-0.89115;-0.92296;-0.87636;-0.98439;-1.13617;-1.02365;-1.22406;-1.25282;-1.19624;-1.19428;-1.1971;-1.18971;-1.2085;-1.24594;-1.21142;-1.04739;-0.8392;-0.80946;-0.94186;-0.92602;-0.81815;-0.8555;-0.89726;-0.8984;-0.89247;-0.88158;-0.81187;-0.89519;-0.94743;-1.06582;-0.96127;-0.91529;-1.10417;-1.07518;-1.08161;-1.04727;-1.07072
Jan1962;0.17517;0.09102;-0.03126;0.11032;0.73131;-0.05578;-0.23348;-0.91783;-0.87673;-0.7948;-0.83867;-0.7565;-0.88322;-0.91396;-0.86891;-0.97733;-1.13512;-1.02073;-1.22748;-1.25879;-1.20071;-1.19855;-1.20007;-1.19228;-1.21028;-1.24908;-1.21566;-1.05033;-0.84867;-0.82194;-0.9551;-0.93673;-0.82312;-0.85921;-0.90141;-0.90304;-0.89648;-0.88307;-0.81165;-0.8957;-0.9467;-1.06352;-0.95845;-0.91019;-1.0962;-1.06705;-1.07505;-1.0412
Feb1962;0.76053;0.60989;0.46943;0.28849;0.32228;0.8428;0.06822;-0.12822;-0.81391;-0.78643;-0.70768;-0.75635;-0.67627;-0.80256;-0.83374;-0.79329;-0.9039;-1.0632;-0.95261;-1.16509;-1.19833;-1.14516;-1.14385;-1.14577;-1.13903;-1.15758;-1.19591;-1.16374;-0.99877;-0.79936;-0.77507;-0.90853;-0.89274;-0.78016;-0.81695;-0.85998;-0.86151;-0.85552;-0.84275;-0.77049;-0.8553;-0.90687;-1.02617;-0.92059;-0.87335;-1.06105;-1.03206;-1.04025
Mar1962;0.31507;0.6472;0.56942;0.48859;0.35195;0.39328;0.87758;0.12507;-0.07441;-0.75026;-0.72966;-0.65552;-0.70767;-0.62939;-0.75597;-0.78622;-0.74742;-0.85999;-1.01642;-0.9009;-1.11476;-1.15587;-1.10369;-1.10397;-1.10545;-1.09877;-1.11785;-1.15636;-1.12587;-0.9616;-0.76476;-0.74294;-0.87654;-0.86334;-0.75136;-0.7892;-0.83269;-0.83426;-0.82937;-0.81702;-0.74433;-0.82985;-0.88254;-1.00227;-0.89615;-0.84924;-1.03741;-1.00914
Apr1962;-0.84539;-0.57119;-0.27523;-0.24079;-0.22655;-0.25747;-0.12819;0.43029;-0.20681;-0.35358;-0.94325;-0.89787;-0.82829;-0.87187;-0.79846;-0.91356;-0.94127;-0.90274;-0.99808;-1.14422;-1.04;-1.23696;-1.26225;-1.20943;-1.21025;-1.20999;-1.20422;-1.22037;-1.25673;-1.22866;-1.06493;-0.87632;-0.85315;-0.98508;-0.96618;-0.85522;-0.88945;-0.93073;-0.93289;-0.92618;-0.9131;-0.84239;-0.92261;-0.97433;-1.08737;-0.98657;-0.93827;-1.1179
May1962;0.86131;0.2587;0.31312;0.45788;0.43228;0.42012;0.37846;0.43599;0.78711;0.24502;0.06824;-0.5309;-0.53595;-0.48685;-0.54116;-0.46799;-0.58699;-0.62048;-0.59256;-0.69979;-0.87671;-0.75484;-0.97739;-1.02279;-0.98803;-0.99634;-0.99657;-0.99166;-1.01067;-1.05068;-1.02217;-0.86132;-0.67243;-0.65802;-0.79076;-0.78276;-0.67197;-0.71226;-0.75794;-0.75764;-0.75318;-0.74013;-0.66329;-0.74812;-0.80571;-0.92804;-0.81446;-0.77429
