DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Aug1987;0.50701;-0.11405;-0.24855;-0.63942;-0.95264;-0.84149;-0.86126;-0.91132;-0.84827;-0.79201;-0.73642;-0.65391;-0.73213;-0.63865;-0.71655;-0.7715;-0.84039;-0.74386;-0.73364;-0.70968;-0.66581;-0.66178;-0.75429;-0.69273;-0.63538;-0.51629;-0.49485;-0.49847;-0.4882;-0.43413;-0.42868;-0.43297;-0.40901;-0.42148;-0.44659;-0.4745;-0.51465;-0.48238;-0.50635;-0.47747;-0.46396;-0.42511;-0.42239;-0.42557;-0.39361;-0.40915;-0.52282;-0.57432
Sep1987;-0.26487;0.19363;-0.18751;-0.28938;-0.60981;-0.88308;-0.79741;-0.81916;-0.86657;-0.81815;-0.77343;-0.72308;-0.65622;-0.72705;-0.64784;-0.72264;-0.77556;-0.84062;-0.74768;-0.73633;-0.71531;-0.67444;-0.67106;-0.75954;-0.70032;-0.64275;-0.52735;-0.50674;-0.5101;-0.49869;-0.44584;-0.44039;-0.44465;-0.42047;-0.43331;-0.45707;-0.4831;-0.52167;-0.49026;-0.51368;-0.48442;-0.47116;-0.43321;-0.43054;-0.43376;-0.40298;-0.41841;-0.52858
Oct1987;-0.21224;-0.35873;0.05434;-0.27586;-0.35911;-0.64416;-0.88906;-0.80777;-0.82772;-0.8722;-0.82532;-0.78205;-0.73731;-0.6717;-0.74299;-0.66605;-0.73663;-0.78706;-0.84803;-0.75874;-0.74659;-0.7253;-0.68185;-0.67851;-0.76337;-0.7055;-0.65257;-0.54224;-0.52263;-0.5253;-0.51436;-0.46208;-0.45571;-0.45963;-0.43455;-0.44674;-0.46892;-0.49381;-0.53309;-0.50465;-0.52794;-0.49905;-0.48628;-0.44904;-0.44617;-0.4492;-0.41886;-0.43363
Nov1987;-0.93125;-0.55982;-0.55598;-0.09633;-0.39336;-0.4689;-0.73884;-0.96805;-0.88257;-0.89783;-0.93879;-0.89181;-0.84845;-0.80535;-0.73941;-0.80759;-0.7286;-0.79325;-0.83996;-0.89631;-0.80879;-0.79587;-0.77444;-0.73024;-0.72576;-0.806;-0.74833;-0.69685;-0.5887;-0.56778;-0.56883;-0.55679;-0.50424;-0.49753;-0.50083;-0.47552;-0.48685;-0.50758;-0.53142;-0.56952;-0.54113;-0.56326;-0.53435;-0.52105;-0.48361;-0.48032;-0.48308;-0.45254
Dec1987;-0.22795;-0.77216;-0.59405;-0.57847;-0.12432;-0.41092;-0.4862;-0.75093;-0.97541;-0.88772;-0.90113;-0.94061;-0.89436;-0.85147;-0.80891;-0.74473;-0.81314;-0.73462;-0.79843;-0.84463;-0.89998;-0.81369;-0.80114;-0.77985;-0.73621;-0.7312;-0.80994;-0.75374;-0.70434;-0.59746;-0.57667;-0.57752;-0.5652;-0.51259;-0.50565;-0.5089;-0.48341;-0.49435;-0.5149;-0.53849;-0.57696;-0.54872;-0.5705;-0.54168;-0.52835;-0.491;-0.48761;-0.49019
Jan1988;0.20234;-0.01483;-0.51264;-0.49397;-0.5361;-0.10524;-0.3952;-0.47614;-0.74854;-0.97222;-0.88582;-0.90018;-0.94114;-0.8947;-0.8523;-0.81093;-0.74781;-0.81846;-0.73735;-0.80008;-0.84481;-0.90084;-0.81609;-0.80358;-0.78274;-0.73957;-0.73536;-0.8146;-0.75909;-0.71111;-0.60611;-0.58707;-0.58947;-0.57944;-0.528;-0.52071;-0.52458;-0.49954;-0.511;-0.53048;-0.55336;-0.59075;-0.56184;-0.58371;-0.55583;-0.54423;-0.50808;-0.50589
Feb1988;-0.23723;-0.0783;-0.17575;-0.52856;-0.50275;-0.52955;-0.13231;-0.40468;-0.48529;-0.75109;-0.97045;-0.88487;-0.89864;-0.9378;-0.89156;-0.84996;-0.8075;-0.74628;-0.81738;-0.73962;-0.80124;-0.84493;-0.89989;-0.81689;-0.80468;-0.78381;-0.74048;-0.73625;-0.81359;-0.75974;-0.71324;-0.61047;-0.59133;-0.59376;-0.58409;-0.53319;-0.52603;-0.52982;-0.50379;-0.51507;-0.53403;-0.55664;-0.59455;-0.56584;-0.5874;-0.55972;-0.5481;-0.51226
Mar1988;-0.28596;-0.32244;-0.23669;-0.29184;-0.53079;-0.54478;-0.55001;-0.18935;-0.4322;-0.50499;-0.74736;-0.9513;-0.86957;-0.88159;-0.91825;-0.87399;-0.83639;-0.79654;-0.74243;-0.81082;-0.73768;-0.79839;-0.83973;-0.89291;-0.81303;-0.80054;-0.78063;-0.73905;-0.73462;-0.80979;-0.75884;-0.71417;-0.61475;-0.59626;-0.59798;-0.58854;-0.53845;-0.53134;-0.53495;-0.50905;-0.52008;-0.53829;-0.55987;-0.59685;-0.56872;-0.58964;-0.56311;-0.55155
Apr1988;-0.04595;-0.21762;-0.2796;-0.23027;-0.26916;-0.46156;-0.50227;-0.5136;-0.19272;-0.41798;-0.4861;-0.71814;-0.91506;-0.83973;-0.85248;-0.88818;-0.84806;-0.81237;-0.77306;-0.72126;-0.78897;-0.72178;-0.77989;-0.82122;-0.87422;-0.79822;-0.78619;-0.76696;-0.7263;-0.72166;-0.79423;-0.74413;-0.70108;-0.6041;-0.58595;-0.58787;-0.57912;-0.53077;-0.52403;-0.52766;-0.5035;-0.51401;-0.53195;-0.55266;-0.58992;-0.56275;-0.58379;-0.55799
May1988;-0.64895;-0.49546;-0.50818;-0.51954;-0.47574;-0.48244;-0.62555;-0.65814;-0.6484;-0.33655;-0.52918;-0.59207;-0.8;-0.97989;-0.9042;-0.91284;-0.94568;-0.90513;-0.87105;-0.82872;-0.77987;-0.84317;-0.77798;-0.83307;-0.87255;-0.92222;-0.84748;-0.83386;-0.81553;-0.77578;-0.76954;-0.83706;-0.78849;-0.74489;-0.65144;-0.63268;-0.6326;-0.62238;-0.57323;-0.56663;-0.56927;-0.54486;-0.5546;-0.57141;-0.59078;-0.62546;-0.59804;-0.61792
