DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
May1955;0.21474;-0.27144;-0.4944;-0.36671;-0.31266;-0.42785;-0.62473;-0.53374;-1.00108;-1.07056;-1.3367;-1.37157;-1.14215;-1.14629;-1.22338;-1.33157;-1.3646;-1.3235;-1.31786;-1.22606;-1.34833;-1.24043;-1.22031;-1.41763;-1.4392;-1.40494;-1.4201;-1.42622;-1.47277;-1.44632;-1.36958;-1.44576;-1.52206;-1.58723;-1.60372;-1.70022;-1.67892;-1.603;-1.58232;-1.58659;-1.61402;-1.65302;-1.65577;-1.665;-1.6058;-1.6409;-1.64061;-1.50781
Jun1955;0.08673;0.15719;-0.16401;-0.35617;-0.27063;-0.23493;-0.33289;-0.5044;-0.44459;-0.85233;-0.92204;-1.18312;-1.25371;-1.06155;-1.07254;-1.14937;-1.25463;-1.28725;-1.24745;-1.24392;-1.16497;-1.28595;-1.18991;-1.1747;-1.3703;-1.39443;-1.36573;-1.3794;-1.38459;-1.42735;-1.40237;-1.32498;-1.39921;-1.47726;-1.54323;-1.56393;-1.6618;-1.64385;-1.57045;-1.54847;-1.55196;-1.57809;-1.62142;-1.62376;-1.63481;-1.57683;-1.61226;-1.61209
Jul1955;-0.21087;-0.13296;-0.00752;-0.29176;-0.44538;-0.37528;-0.34278;-0.41492;-0.56058;-0.51097;-0.86184;-0.9252;-1.15245;-1.21929;-1.04836;-1.05826;-1.13061;-1.2304;-1.26337;-1.22976;-1.23173;-1.15707;-1.26906;-1.17909;-1.16704;-1.35097;-1.37561;-1.35072;-1.36403;-1.37023;-1.41209;-1.38911;-1.31661;-1.38981;-1.46069;-1.529;-1.54574;-1.63606;-1.61799;-1.55149;-1.53355;-1.53715;-1.56256;-1.60547;-1.60834;-1.62102;-1.56902;-1.60691
Aug1955;0.00521;-0.21262;-0.14801;-0.02324;-0.29124;-0.43611;-0.38143;-0.35632;-0.42615;-0.56048;-0.52032;-0.83855;-0.90169;-1.10995;-1.17658;-1.01921;-1.02767;-1.09948;-1.19845;-1.23001;-1.20047;-1.2041;-1.13682;-1.24117;-1.15782;-1.1461;-1.32094;-1.3462;-1.32142;-1.33401;-1.34159;-1.38313;-1.36683;-1.29734;-1.37037;-1.4387;-1.50631;-1.52303;-1.6073;-1.58999;-1.52639;-1.5101;-1.51364;-1.53913;-1.57804;-1.5805;-1.59408;-1.54161
Sep1955;0.04469;-0.01495;-0.20416;-0.13989;-0.04551;-0.27199;-0.40348;-0.35987;-0.33857;-0.40032;-0.52376;-0.48796;-0.78313;-0.84529;-1.04311;-1.11627;-0.97272;-0.98232;-1.05086;-1.14606;-1.17701;-1.14697;-1.15163;-1.08975;-1.19177;-1.11204;-1.1029;-1.2729;-1.30086;-1.28055;-1.29387;-1.30197;-1.34202;-1.32802;-1.26141;-1.33418;-1.40117;-1.46872;-1.48454;-1.56854;-1.55572;-1.49482;-1.47904;-1.48354;-1.50885;-1.54908;-1.55297;-1.56479
Oct1955;-0.46909;-0.27447;-0.25588;-0.37217;-0.30601;-0.20703;-0.40498;-0.52096;-0.47949;-0.46208;-0.52477;-0.63271;-0.59467;-0.86612;-0.92158;-1.10472;-1.17072;-1.02841;-1.03201;-1.09265;-1.17817;-1.20729;-1.18028;-1.18359;-1.12083;-1.22231;-1.14886;-1.14085;-1.30209;-1.33049;-1.31196;-1.323;-1.33042;-1.36812;-1.35752;-1.29492;-1.36446;-1.42881;-1.49341;-1.5105;-1.58817;-1.57372;-1.51626;-1.50229;-1.50667;-1.53068;-1.56842;-1.57136
Nov1955;-0.48074;-0.66473;-0.4796;-0.45864;-0.52538;-0.4329;-0.33011;-0.51147;-0.61868;-0.57844;-0.55916;-0.6159;-0.71573;-0.67493;-0.93115;-0.98444;-1.15968;-1.21597;-1.07665;-1.07908;-1.13745;-1.22009;-1.24938;-1.22456;-1.22955;-1.1636;-1.25855;-1.18452;-1.17673;-1.333;-1.36022;-1.34317;-1.35371;-1.3608;-1.39739;-1.38486;-1.32503;-1.39107;-1.45316;-1.51599;-1.53555;-1.60974;-1.59326;-1.53782;-1.52344;-1.52659;-1.54965;-1.58648
Dec1955;-0.86596;-0.8685;-0.85371;-0.64858;-0.62102;-0.65604;-0.55024;-0.44256;-0.61317;-0.71499;-0.67419;-0.65268;-0.70652;-0.79777;-0.75368;-0.99887;-1.04718;-1.21629;-1.26542;-1.12711;-1.12753;-1.18261;-1.26192;-1.29013;-1.26694;-1.27078;-1.20473;-1.29671;-1.22212;-1.21558;-1.365;-1.39157;-1.37549;-1.38548;-1.39214;-1.42708;-1.41404;-1.35582;-1.41958;-1.47958;-1.54008;-1.55902;-1.62924;-1.61259;-1.55883;-1.54476;-1.54754;-1.56974
Jan1956;-0.1664;-0.75048;-0.85009;-0.85468;-0.6667;-0.64894;-0.67424;-0.57794;-0.47623;-0.64023;-0.74163;-0.7024;-0.68028;-0.73582;-0.82903;-0.79139;-1.02921;-1.07716;-1.24657;-1.30145;-1.1719;-1.17254;-1.22822;-1.3046;-1.33316;-1.30865;-1.31054;-1.24489;-1.33809;-1.26769;-1.26915;-1.4255;-1.4525;-1.44028;-1.45528;-1.46167;-1.49565;-1.4867;-1.42781;-1.49721;-1.55303;-1.61879;-1.63068;-1.69995;-1.6816;-1.62675;-1.6114;-1.60909
Feb1956;-0.04032;-0.16572;-0.5904;-0.75306;-0.80906;-0.6347;-0.62438;-0.66138;-0.56969;-0.47299;-0.63329;-0.73391;-0.69656;-0.67592;-0.73175;-0.82623;-0.78902;-1.02418;-1.07355;-1.2418;-1.29857;-1.16979;-1.17009;-1.22579;-1.30327;-1.33137;-1.30665;-1.30867;-1.24334;-1.33815;-1.26883;-1.26887;-1.42575;-1.45216;-1.44009;-1.45465;-1.46115;-1.49422;-1.48513;-1.4266;-1.49464;-1.55066;-1.6172;-1.629;-1.69665;-1.67921;-1.62431;-1.609
